,recuperados,nuevos,fallecidos,muestras,date
297,10361,12464,247,0,2021/4/8
298,9734,12125,269,0,2021/4/9
299,9610,14509,325,0,2021/4/10
300,8609,17483,281,0,2021/4/11
301,11948,16739,267,0,2021/4/12
302,12891,16377,326,0,2021/4/13
303,10641,16487,337,0,2021/4/14
304,12796,16918,380,0,2021/4/15
305,10392,16703,365,0,2021/4/16
306,15435,16654,367,0,2021/4/17
307,13610,16871,397,0,2021/4/18
308,16748,14189,420,0,2021/4/19
309,17492,16965,429,0,2021/4/20
310,16206,17212,419,0,2021/4/21
311,16076,19306,430,0,2021/4/22
312,17599,19925,420,0,2021/4/23
313,18038,16730,440,0,2021/4/24
314,14547,17190,465,0,2021/4/25
315,14285,12839,448,0,2021/4/26
316,14332,17578,436,0,2021/4/27
